parent_strain	strain	parent_country	country	date	dist	desc_count	total_proportion	country_proportion
Turkey/HSGM-8964/2020_travel_history	Turkey/HSGM-8964/2020	Saudi Arabia	Turkey	2020.2254098360656	0.0	1.0	0.0001287664177182591	0.03571428571428571
NODE_0003326	Turkey/HSGM-8975/2020	Saudi Arabia	Turkey	2020.2254098360656	0.0	3.0	0.00038629925315477725	0.07142857142857142
Turkey/HSGM-4701/2020_travel_history	Turkey/HSGM-4701/2020	Saudi Arabia	Turkey	2020.2117486338798	0.0	1.0	0.0001287664177182591	0.03571428571428571
Turkey/HSGM-5711/2020_travel_history	Turkey/HSGM-5711/2020	Saudi Arabia	Turkey	2020.214480874317	0.0	1.0	0.0001287664177182591	0.03571428571428571
NODE_0002953	Turkey/HSGM-8968/2020	Saudi Arabia	Turkey	2020.2254098360656	0.010928961748732036	3.0	0.00038629925315477725	0.07142857142857142
Turkey/HSGM-10241/2020_travel_history	Turkey/HSGM-10241/2020	Saudi Arabia	Turkey	2020.2281420765028	0.0	1.0	0.0001287664177182591	0.03571428571428571
Turkey/HSGM-5602/2020_travel_history	Turkey/HSGM-5602/2020	Saudi Arabia	Turkey	2020.214480874317	0.0	1.0	0.0001287664177182591	0.03571428571428571
Turkey/HSGM-4236/2020_travel_history	Turkey/HSGM-4236/2020	Saudi Arabia	Turkey	2020.2090163934427	0.0	1.0	0.0001287664177182591	0.03571428571428571
NODE_0002968	NODE_0002970	United Kingdom	Russia	2020.2122249581976	0.019507822513560313	41.0	0.0052794231264486225	0.013157894736842105
Austria/CeMM0007/2020_travel_history	Austria/CeMM0007/2020	Spain	Austria	2020.200819672131	0.0	1.0	0.0001287664177182591	0.023255813953488372
NODE_0002976	Finland/13M82/2020	USA	Finland	2020.200819672131	0.002395768500491613	2.0	0.0002575328354365182	0.07142857142857142
Japan/P1/2020_travel_history	Japan/P1/2020	Egypt	Japan	2020.1871584699454	0.0	1.0	0.0001287664177182591	0.02857142857142857
NODE_0002984	Japan/P2-2/2020_travel_history	Canada	Egypt	2020.1926229508197	0.0	3.0	0.00038629925315477725	0.1
Japan/P2-2/2020_travel_history	Japan/P2-2/2020	Egypt	Japan	2020.1926229508197	0.0	1.0	0.0001287664177182591	0.02857142857142857
